timestamp,topic,latency,content
1740440277.6910985,pressure,0.0012836456298828125,897
1740440277.692681,humidity,0.0008938312530517578,14.330574470515138
1740440278.695058,sound,0.0013852119445800781,52
1740440278.6964035,pressure,0.002511739730834961,1043
1740440278.6973457,humidity,0.0027458667755126953,10.197674527798048
1740440279.7001438,sound,0.0023953914642333984,92
1740440279.7029157,pressure,0.004678487777709961,1053
1740440279.7045157,humidity,0.0059812068939208984,33.37210488577476
1740440280.7034805,sound,0.0025320053100585938,84
1740440280.7049973,pressure,0.003612518310546875,985
1740440280.7054117,humidity,0.003780841827392578,37.81166927496768
1741485751.6544642,altitude,0.0005209445953369141,31090
1741485751.6557972,temperature,0.0017857551574707031,-10
1741485752.656707,altitude,0.001583099365234375,26385
1741485752.659398,temperature,0.0040585994720458984,14
